"","Timestamp","Age","t1","t2","t3","t4","t5","t6","t7","t8","t9","FirstType","FirstEssay","Code","firstNormal","firstFun","FUN_ANS1","FUN_A1","FUN_ANS2","FUN_A2","FUN_ANS3","FUN_A3","FUN_ANS4","FUN_A4","FUN_ANS5","FUN_A5","SAD_ANS1","SAD_A1","SAD_ANS2","SAD_A2","SAD_ANS3","SAD_A3","SAD_ANS4","SAD_A4","SAD_ANS5","SAD_A5","PrimEng","Female","RaceCode","DegreeCode","readTM","readBook","readSci","readMag","readProf","readNone","UsesGlasses","SpritzExp","FUN","SAD","Y","trt","FS"
"76","12/2/2014 2:03:46",54,6025,11325,87504,28321,27042,51614,99860,32381,58814,"Normal","Fun","hq3b6f",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,0,2,1,2,1,1,3,2,1,0,0,1,0,0,1,1,5,4,5,0,"FUN"
"77","12/2/2014 2:05:18",22,7068,4380,58693,27025,9676,25270,99532,18339,47903,"Normal","Fun","xj5uvk",1,1,1,2,1,3,0,0,1,1,1,4,0,2,1,3,0,1,1,1,1,2,1,0,6,3,1,0,0,0,0,0,1,1,4,3,4,0,"FUN"
"78","12/2/2014 2:09:30",55,333149,12626,147744,65786,21234,27420,106855,46491,88021,"Normal","Fun","35nw9c",1,1,1,2,1,3,1,4,1,1,1,4,1,4,0,1,1,2,1,1,0,4,1,0,2,5,1,1,0,1,1,0,1,0,5,3,5,0,"FUN"
"79","12/2/2014 2:11:00",34,13610,8089,112933,258560,19948,42632,100218,53424,55821,"Normal","Fun","lorroc",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,0,1,1,1,1,2,0,1,1,5,1,0,0,0,0,0,0,0,4,4,4,0,"FUN"
"80","12/2/2014 2:11:28",47,22786,17725,160278,158452,33689,39958,109217,148332,115928,"Normal","Fun","c5yep9",1,1,1,2,1,3,1,4,1,1,1,4,0,1,0,1,1,2,1,1,0,4,0,0,1,5,1,1,0,1,1,0,1,0,5,2,5,0,"FUN"
"81","12/2/2014 2:15:37",32,7052,7448,81748,49248,15024,28235,104397,34810,47842,"Normal","Fun","oco995",1,1,1,2,1,3,0,0,1,1,1,4,1,4,1,3,1,2,0,2,1,2,1,1,6,4,1,1,0,0,0,0,0,0,4,4,4,0,"FUN"
"82","12/2/2014 2:17:06",35,8234,6426,84650,30586,10625,48435,99763,30377,55191,"Normal","Fun","rszvpb",1,1,1,2,1,3,1,4,1,1,1,4,0,2,0,1,1,2,1,1,1,2,1,1,6,3,1,1,0,1,1,0,0,0,5,3,5,0,"FUN"
"83","12/2/2014 2:22:10",33,9207,7846,87185,297701,17864,30399,115935,457813,63631,"Normal","Fun","mt7yoj",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,0,1,1,5,1,1,0,1,0,0,0,0,5,5,5,0,"FUN"
"84","12/2/2014 2:36:07",35,1051374,19955,38549,94476,1744,23808,100374,27721,71177,"Normal","Fun","ix9uzf",1,1,1,2,1,3,1,4,1,1,1,4,0,2,1,3,0,1,1,1,1,2,0,1,1,5,1,0,0,0,1,0,0,0,5,3,5,0,"FUN"
"85","12/2/2014 2:46:17",25,2170,3393,230175,98919,9631,23032,98758,29368,33696,"Normal","Fun","suumd2",1,1,1,2,0,2,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,0,6,5,1,1,0,0,0,0,1,1,4,5,4,0,"FUN"
